Artist Name,MusicBrainz ID,Country,Area,Type,Genre Tags,Primary Language,English Ratio,Has English,Estimated Tracks,Albums,EPs,Singles,Total Releases,Latest Release Date,Active Since,Disbanded,MB Size Score,Max Tag Votes,Rating Count,Release Countries
Union Street,5838489f-454b-4a37-bec1-4e7047c30d0a,Finland,Finland,Group,ska,eng,100%,Yes,5,0,1,0,1,2010,,No,3,1,0,0
Ural 13 Diktators,19f13cb4-0cc9-4fd8-803f-fe2561af34fc,Finland,Finland,Group,"techno, electronic",eng,89%,Yes,83,3,10,3,17,2015-04-16,,No,46,1,0,5
Urn,c861cb25-1c73-4200-9590-e97ea94f0eb4,Finland,Finland,Group,"thrash metal, finnish, black metal",eng,100%,Yes,103,9,2,3,14,2025-03-28,1994,No,49,3,0,6
Uuge Päts,264336ba-c0e0-4368-8d5e-1f8d3f6ad3d9,Finland,Finland,Group,blues rock,eng,100%,Yes,10,1,0,0,1,1981,,No,6,1,0,1
Uusitalo,5800c385-4b8d-49f3-8a97-9b166eaa148a,Finland,Finland,Person,"microhouse, minimal techno",fin,14%,Yes,45,4,1,0,5,2007-10-04,1976,No,20,1,0,3
VVOV,d0097e19-adba-4711-912a-fd8aedf9a03b,Finland,Finland,Group,"electronic, darksynth, black metal, electro-industrial, synthwave",eng,61%,Yes,86,5,4,16,25,2022-08-10,2018,No,38,2,0,2
Vaaralliset Lelut,a54f801a-3a0e-4a39-b64b-5c06757a357a,Finland,Finland,Group,experimental,fin,0%,No,41,4,0,1,5,1984,1980,No,14,1,0,1
Valkyrend Varieté,792f432b-d60a-46e5-ae62-48e0dcdae780,Finland,Finland,Group,"finnish, progressive, cello, folk, acoustic, finland, guitar, valkyrend, variete",fin,25%,Yes,16,0,3,1,4,2010,,No,17,1,1,1
Venus Star,6557a4b1-314c-4296-9525-d64ad8d23123,Finland,Finland,Group,black metal,eng,100%,Yes,90,7,4,0,12,2025-06-11,,No,34,1,0,3
Verneri Pohjola,2481455b-77fc-4211-89f3-44b9ca40d619,Finland,Finland,Person,"jazz, avant-garde jazz, contemporary jazz",eng,85%,Yes,202,20,0,2,22,2024-11-15,1977,No,50,2,0,6
Vesa Vierikko,30f0e21c-d1f3-4d0e-8dd3-61645095bd3e,Finland,Finland,Person,,fin,0%,No,0,0,0,0,7,2011,1956,No,20,0,0,2
Vesala,15507f7d-3210-45a5-90bb-b5bd9fac27b9,Finland,Finland,Person,"pop, art pop, finnish rock, finnish pop",fin,0%,No,68,6,0,8,14,2023-02-10,1981,No,35,1,0,2
Vesterinen Yhtyeineen,b91290c6-5677-4d53-9c32-5b00a634fb73,Finland,Finland,Group,indie pop,fin,0%,No,113,11,0,3,14,2024,2009,No,32,1,0,1
Viikate,63e166d4-b490-48d1-84f7-c19b45c503de,Finland,Finland,Group,"metal, heavy metal, rock",fin,0%,No,235,22,3,0,25,2024-10-31,1996,No,46,3,2,1
Ville Valo,d0169ab3-c719-4a25-be8b-8d707c9a39b7,Finland,Finland,Person,"alternative rock, rock, gothic rock",eng,89%,Yes,29,2,1,4,7,2023-09-08,1976,No,28,2,0,4
Ville Veikka,0995f6e5-4424-4f3d-990e-4a3be680178b,Finland,Finland,Person,"folk, indie folk",fin,0%,No,15,1,1,0,2,2025-04-11,,No,8,1,0,1
Virta,073189a4-4c06-45c8-b7a8-203606012da2,Finland,Finland,Person,"folk rock, progressive rock",fin,0%,No,10,1,0,0,1,2011-12-12,,No,6,1,0,1
Visiteur,b84fea73-11ca-42e1-be68-346a467f2e3a,Finland,Finland,Group,"indie rock, pop rock",fin,0%,No,1,0,0,1,1,2010-08-06,2009,No,6,1,0,1
Vladislav Delay,039cafb3-4f3d-44a9-b956-7705323f025b,Finland,Finland,Person,"electroacoustic, downtempo, glitch, dub techno, ambient, ambient dub, power noise",fin,33%,Yes,230,23,0,0,25,2025-12-31,1976,No,53,2,0,7
Vortech,fcd6946c-e1dd-43df-9ce7-37a36820100a,Finland,Finland,Group,"heavy metal, ambient, industrial metal, progressive metal, death metal, black metal, industrial death metal",eng,100%,Yes,100,9,2,0,11,2025-12-07,2005,No,26,1,0,1
Värttinä,79c41645-d2bf-4f53-8f17-4be34099eaf3,Finland,Finland,Group,"folk, finnish, world, finland, worldbeat, folk pop, scandinavia, scandinave, scandinavie, scandinavian",fin,0%,No,191,18,1,6,25,2025-04-11,1983,No,61,7,0,8
Waltari,1b5843cc-3109-4496-888a-1ca5528aa7f9,Finland,Finland,Group,"alternative rock, heavy metal, punk, progressive metal, metal, crossover, alternative metal, funk metal",eng,92%,Yes,240,23,2,0,25,2025-05-16,1986,No,51,3,0,6
Warmen,6b3a7975-fc3a-404b-a13e-66c223cd2a31,Finland,Finland,Group,"melodic death metal, power metal",unknown,0%,No,99,9,0,9,18,2025-08-15,2000,No,31,1,0,0
Wentus Blues Band,e85e0b26-7bae-4b06-9a31-1e5d49575e2a,Finland,Finland,Group,blues,eng,96%,Yes,178,17,1,3,21,2019-09-13,1986,No,42,1,1,2
Wheel,4a059eea-f04b-4a49-a705-dd7d15566116,Finland,Finland,Group,"rock, progressive rock, progressive metal, metal, alternative metal",eng,100%,Yes,58,3,4,8,15,2024-05-03,2015,No,49,4,0,5
Wigwam,dad658a2-b312-4728-b180-ce8fff119db6,Finland,Finland,Group,"rock, progressive rock, finnish, jazz rock, european",eng,92%,Yes,214,21,0,4,25,2023-01,1969,No,44,2,0,4
Wilma,0da0fe9e-defb-4c60-9680-a75c31a428bc,Finland,Finland,Group,indie pop,fin,0%,No,44,4,0,4,8,2025-02-28,1991,No,20,1,0,1
Wimme Saari,9be0b0e7-04c2-40f2-9eac-025b5044cbe5,Finland,Finland,Person,"ambient techno, joik",sme,36%,Yes,95,9,1,0,10,2017-05-26,1959,No,31,2,0,3
Winning Team,f6b67f08-0c37-49c6-9804-94f689a265de,Finland,Finland,Group,big room house,eng,100%,Yes,8,0,0,8,8,2022-05-06,,No,20,1,0,1
Wintersun,c054ea6b-c585-41eb-ae7e-4b0ca43308ff,Finland,Finland,Group,"melodic death metal, metal, finnish, death metal, symphonic metal, folk metal, finland, melodic metal, nordic metal, melodic extreme metal",eng,100%,Yes,172,16,2,2,20,2024-11-15,2003,No,87,14,5,6
Wolfhorde,e20f4c90-6dfd-46c2-b3a1-254599a8a875,Finland,Finland,Group,"history, black metal, death, mythology, paganism, folk metal, nature",eng,80%,Yes,48,3,3,3,9,2024-08-30,2000,No,28,1,0,3
Wyrd,12b44a9f-5fd1-4b7d-a76d-688df71dd07b,Finland,Finland,Group,"black metal, folk metal, finnish, doom metal, pagan black metal",eng,70%,Yes,185,18,1,0,19,2021-02-25,1998,No,53,2,0,7
Xysma,bc02d844-575a-4d82-a0ac-09d9d93377f1,Finland,Finland,Group,"death metal, deathgrind, goregrind, death 'n' roll, garage rock, metal, death'n'roll, grindcore, stoner rock",eng,100%,Yes,106,9,3,1,13,2023-03-24,1988,No,43,2,0,5
YOTTO,7355a02a-b14a-4719-aa09-477b1964b2a3,Finland,Finland,Person,"trance, downtempo, pop, fixme, dance, house, deep house, techno, electronica, progressive house",eng,100%,Yes,145,8,12,5,25,2025-11-20,1986,No,47,2,0,5
Ylva Haru,f001ed15-1b3b-48f8-b658-a3de86109606,Finland,Finland,Person,"singer-songwriter, folk pop",fin,0%,No,35,3,1,0,4,2026-01-23,1985,No,12,1,0,1
Yoens,e16597ab-4066-4ebf-9bfd-8c38937cda5c,Finland,Finland,Person,"chillwave, synthwave, chillsynth",eng,100%,Yes,10,1,0,0,1,2026-03-18,,No,6,1,0,1
Yö,a35d2112-4137-4c14-89fb-58e02036c326,Finland,Finland,Group,"rock, finnish, pop rock",fin,0%,No,250,25,0,0,25,2018-09-07,1981,No,34,1,0,1
Zen Café,6ca14d5e-3a33-4696-9e82-bdebe070838e,Finland,Finland,Group,"rock, finnish, art pop",fin,4%,Yes,107,10,0,7,17,2013,1992,No,52,1,3,2
cocabona,0c60cfb6-69d8-4159-b413-b89da0c52fed,Finland,Finland,Person,"lo-fi hip hop, hip hop, instrumental, chillwave, downtempo, instrumental hip hop, lo-fi, boom bap",eng,100%,Yes,35,1,1,20,22,2025-09-26,,No,37,1,0,2
idealism,44ade048-ea16-4161-abb6-7794ebefad19,Finland,Finland,Person,"downtempo, instrumental, hip hop, lo-fi, boom bap, chillwave, instrumental hip hop, lo-fi hip hop",eng,96%,Yes,85,4,6,15,25,2025-02-21,,No,43,2,1,2
pehmoaino,6489acf8-9e56-42cb-89ae-1be4811930e0,Finland,Finland,Person,"synth-pop, indie pop, ambient pop",fin,17%,Yes,19,1,1,4,6,2025-04-10,2001,No,21,1,1,1
sumu,e490addf-82e6-4b26-a49e-c3299ca91949,Finland,Finland,Other,"lo-fi, lo-fi hip hop",eng,100%,Yes,1,0,0,1,1,2024-02-27,,No,6,1,0,1
tomppabeats,50e66415-ca79-4f18-9ba2-3b893b0fd32c,Finland,Finland,Person,"hip hop, chillwave, instrumental hip hop, lo-fi, lo-fi hip hop, downtempo, instrumental, boom bap",eng,100%,Yes,66,4,5,1,10,2022-08-11,1997,No,35,1,1,3
vhskid.,9bd2a6cd-75be-4774-bc38-a207511347ad,Finland,Finland,Group,"hip hop, chillwave, instrumental hip hop, boom bap, lo-fi, lo-fi hip hop, downtempo, instrumental",eng,100%,Yes,12,0,0,12,12,2025-11-24,,No,28,1,0,1
…and Oceans,284460fc-c58a-4214-b81c-299a66bbd786,Finland,Finland,Group,"industrial metal, metal, black metal, melodic black metal, symphonic black metal",eng,68%,Yes,149,13,3,4,20,2025-05-23,1995,No,68,4,2,8
